"Id","Request Token","Created At","Updated At","Status","Order Reference","Requested Currency","Requested Amount","Settled Amount","Settled Currency","Psp Transaction ID","Failure Code","Failure Reason","Failure Code ( Minor )","Failure Reason ( Minor )","Previous Transaction Id","Brand Name","Reseller","PSP MID","PSP Name","Card Bin","Country (billing address)","Score","Customer Email","Customer Name","Customer Phone ","Customer Address","Customer Postal Code","Detected Country"
"c0e77b02-f4a7-4da1-b4f9-4f04a1d45cac","8d06874a982f88c768c3573df36e15a2c5cc0f81","2024-07-10 07:40:57","2024-07-10 07:42:00","ok","9d8db0a8ec234","EUR","5.00","5.00","EUR","661dad1b-4092-4bd6-9a8f-509f2e9e4466","","None","","None","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"1100842a-f51a-496b-95cb-33ab88b115d6","581412d1d9b9896b5e406b241d36b8d0cd24d994","2024-07-10 07:40:28","2024-07-10 07:40:50","failed","1276d4bb11d7a","EUR","5.00","0.00","EUR","","","Any reason","","None","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"a12adfeb-644d-44b4-a1bb-6498548d4c87","a2c24702ada2308a86cb15f5c57f3e85e2da2f7d","2024-07-10 07:39:59","2024-07-10 07:40:22","failed","a1266efecd7be","EUR","5.00","0.00","EUR","","","Any reason","","None","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"545dbca8-39b8-4dd2-b3be-33986bce417e","d7481cb7cc7730b6b07ca1a2e00b259522fd4290","2024-07-10 07:39:33","2024-07-10 07:40:59","ok","2b3735d200d0b","EUR","5.00","5.00","EUR","53faf932-bbe1-47c4-a112-5dd3092ba344","","None","","None","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"fdff8a15-4223-4381-b83e-6da614d1c058","01c3420f90301eeb4f5f274cc23404d55a5f0b87","2024-07-10 07:39:09","2024-07-10 07:39:25","failed","f1fbbe0a143e4","EUR","5.00","0.00","EUR","","4","Declined by upstream (post-verification)","1","Decline 3D Check failed (post-verification)","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"2a6e7abd-6bbe-48d6-b156-ea0fb0f888be","41c4b06b3998c6ac1e9cb15318399f47914c9717","2024-07-10 07:38:45","2024-07-10 07:39:01","failed","f3dc37aaad39b","EUR","5.00","0.00","EUR","","4","Declined by upstream (post-verification)","1","Decline 3D Check failed (post-verification)","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"b1414fdd-695b-4647-a204-508dc882d118","f9d9bbca9abd95114b9bc7622fb7deac5f8ef9e7","2024-07-10 07:38:18","2024-07-10 07:38:38","failed","dde961e4178ac","EUR","5.00","0.00","EUR","","4","Declined by upstream (post-verification)","1","Decline 3D Check failed (post-verification)","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"25d57409-3f70-4d30-9ef5-ac52299b7195","738d2effa6137a593268e157f198b6ae30e6bf74","2024-07-10 07:35:21","2024-07-10 07:35:50","failed","adf848da70d78","EUR","5.00","0.00","EUR","","4","Declined by upstream (post-verification)","1","Decline 3D Check failed (post-verification)","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","DE"
"95dca3ac-6d18-49fe-b602-fda5eb442fee","e1f04b0d90cde978f661447cea01f4a410a18559","2024-07-10 07:31:34","2024-07-10 07:32:22","ok","82b1ee66416fa","EUR","5.00","5.00","EUR","0d57e445-ba8f-4232-9585-80dbc512bfef","","None","","None","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","PK"
"10cf9b1f-7cfd-4ea0-a5be-8ac35781ff44","7348500e945c61fd5d1a674e6cbde1182e14bdc7","2024-07-10 07:00:07","2024-07-10 07:00:09","ok","70d3280bf33df","EUR","5.00","5.00","EUR","pi_3PauVYAqzyxWHWG514EsSAWy","","None","","None","43046201-762f-4dc1-a93b-67a98dbcadb1","Test Brand","others","Stripe","Stripe","411111","PK","-9","lidfefe4433@adddemand.se","Li Ji","0736359106","Maltgatan 12","96219","DE"
"dfb2c7ac-d66a-4618-8d08-ddb17ba2be7a","756301c725590e2e2ece82ebf1416386dc53dc28","2024-07-10 07:00:04","2024-07-10 07:00:07","ok","c9f7a95866d85","USD","6.00","5.54","EUR","pi_3PauVVAqzyxWHWG50iHVjbUY","","None","","None","79c18fcd-3ae7-4303-acd1-5a3ed3b5eecd","Test Brand","others","Stripe","Stripe","424242","PK","-9","lerfer444i@adddemand.se","Li Ji","0736359106","Maltgatan 12","96219","DE"
"84c9bcfd-ceee-4097-a075-968735f598ea","59e4e664632a9c78371e2c08d7068d57081c5d6f","2024-07-10 07:00:03","2024-07-10 07:01:31","failed","b11ecc534df4","EUR","5.00","0.00","EUR","","4","Declined by upstream (post-verification)","1","Decline 3D Check failed (post-verification)","","Test Brand","others","paysafe","Paysafe","400000","SE","1000","li@adddemand.se","li  ji","0736359106","3050 Kildeer Drive","96219","US"
